message,predicted_label
"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!",Ham
I am in tirupur.  call you da.,Ham
No that just means you have a fat head,Ham
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327",Spam
Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house,Ham
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,Ham
Wot about on wed nite I am 3 then but only til 9!,Ham
Dont talk to him ever ok its my word.,Ham
Congrats kano..whr s the treat maga?,Ham
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Ham
"Sorry, I'll call later",Ham
"It's cool, we can last a little while. Getting more any time soon?",Ham
K. I will sent it again,Ham
Ok lor but not too early. Me still having project meeting now.,Ham
IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book,Ham
Was just about to ask. Will keep this one. Maybe that's why you didn't get all the messages we sent you on glo,Ham
"There're some people by mu, I'm at the table by lambda",Ham
Oh k...i'm watching here:),Ham
Need a coffee run tomo?Can't believe it's that time of week already,Ham
"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",Ham
You still around? I could use a half-8th,Ham
So why didnt you holla?,Ham
We left already we at orchard now.,Ham
You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,Spam
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,Ham
Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x,Ham
"Sorry, I'll call later",Ham
"Alright, I'll head out in a few minutes, text me where to meet you",Ham
"Yep, at derek's house now, see you Sunday &lt;3",Ham
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,Ham
How much for an eighth?,Ham
"It's that time of the week again, ryan",Ham
Fffff. Can you text kadeem or are you too far gone,Ham
Yeah I don't see why not,Ham
Hi! This is Roger from CL. How are you?,Ham
Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg,Spam
"K I'll head out in a few mins, see you there",Ham
Is there coming friday is leave for pongal?do you get any news from your work place.,Ham
ÌÏ only send me the contents page...,Ham
"Oh fine, I'll be by tonight",Ham
Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,Spam
Yes. It's all innocent fun. O:-),Ham
V nice! Off 2 sheffield tom 2 air my opinions on categories 2 b used 2 measure ethnicity in next census. Busy transcribing. :-),Ham
"Haha figures, well I found the piece and priscilla's bowl",Ham
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",Spam
They are just making it easy to pay back. I have  &lt;#&gt; yrs to say but i can pay back earlier. You get?,Ham
In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;),Ham
Its like that hotel dusk game i think. You solve puzzles in a area thing,Ham
If i not meeting Ì_ all rite then i'll go home lor. If Ì_ dun feel like comin it's ok.,Ham
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,Ham
Dunno lei shd b driving lor cos i go sch 1 hr oni.,Ham
Ok leave no need to ask,Ham
Yes watching footie but worried we're going to blow it - Phil Neville?,Ham
"Lol you forgot it eh ? Yes, I'll bring it in babe",Ham
How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already Û_,Ham
Same as kallis dismissial in 2nd test:-).,Ham
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Ham
"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-(",Ham
Ok...,Ham
Did either of you have any idea's? Do you know of anyplaces doing something?,Ham
3 pa but not selected.,Ham
I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,Ham
"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u ",Ham
Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,Ham
aathi..where are you dear..,Ham
